Ticker,E,Sigma_E,D_total,ST_debt,LT_debt,V,Sigma_V,d1,d2,Merton_PD,KMV_DP,KMV_DD,KMV_PD
SBIBANK,6749810949629.455,0.299477981563904,46199885800000.0,26257164700000.0,39885442200000.0,50477238152143.54,0.04005244042954757,3.6039571180329437,3.563904677603396,0.00018268934372899987,46199885800000.0,2.115682333129757,0.017185917064551418
BANKBARODA,1142439726470.0352,0.3958677091970294,18540153050000.0,11301960400000.0,14476385300000.0,18689760483018.188,0.024309600724449883,2.6052451445586198,2.58093554383417,0.004926648841578163,18540153050000.0,0.32928474383807016,0.37097023719180966
CANBK,779871667623.5199,0.3998918214002723,22933935300000.0,10072609700000.0,25722651200000.0,22485936426175.1,0.01394751961447332,2.5359081196658737,2.5219606000514005,0.005835138942465834,22933935300000.0,-1.4284628921008504,0.9234206659676606
HDFCBANK,4604538955192.271,0.2463206105056225,16514680050000.0,402332200000.0,32224695700000.0,20235437936824.914,0.05604992984903535,4.634377479054828,4.578327549205793,2.3435417364512444e-06,16514680050000.0,3.280527855358828,0.0005180651641163524
ICICIBANK,4768774013265.092,0.2860652447255181,11763101850000.0,6187340900000.0,11151521900000.0,15902371166542.621,0.08578587497453444,4.198595233910489,4.112809358935955,1.9543657935458602e-05,11763101850000.0,3.034212639406261,0.0012058219139185226
AXISBANK,3411763696581.619,0.3229068679602929,9286845150000.0,3581757300000.0,11410175700000.0,12201592629244.736,0.09030066166476824,3.677101434443623,3.5868007727788545,0.00016737994510003298,9286845150000.0,2.645412988876861,0.004079563393158309
KOTAKBANK,4312500828943.019,0.2675145041249206,10797108800000.0,6129009600000.0,9336198400000.0,14531803026733.781,0.07938869938129295,4.474345225362961,4.394956525981668,5.539746249033163e-06,10797108800000.0,3.237254630807518,0.000603428371707464
INDUSINDBK,506522418846.4271,0.429140217945884,4371560250000.0,2848660500000.0,3045799500000.0,4643654057125.495,0.04712662313244604,2.471894614701116,2.42476799156867,0.007659086369455828,4371560250000.0,1.2433473632612508,0.10686992895093389
BAJFINANCE,5519551724220.358,0.3420216388086787,1927423750000.0,1085765100000.0,1683317300000.0,7343829672512.412,0.25706017676638776,5.546235044353831,5.289174867587444,6.143469054388299e-08,1927423750000.0,2.8691536531594184,0.002057859034876996
PNB,1076333324015.9728,0.3943633513330205,11199532750000.0,5895063500000.0,10608938500000.0,11676016596786.898,0.036493311195572586,2.6670831844783565,2.630589873282784,0.004261841458455596,11199532750000.0,1.118253350462392,0.13172940223312418
